feeder,topology,portfolio,native_dc_share,seed,converter_efficiency,ablation,line_loss_kwh,endpoint_loss_kwh,boundary_loss_kwh,material_index,converter_capacity_kw,converter_count,max_ampacity_fraction,max_single_edge_drop_pu,total_loss_kwh,objective,dc_node_fraction,dc_energy_fraction,dc_bus_signature,boundary_signature,conductor_scale_signature,architecture,state_evaluations,transition_evaluations,ac_total_loss_kwh,ac_objective,loss_change_pct,baseline_architecture,baseline_boundary_signature,baseline_converter_count,baseline_dc_node_fraction,baseline_dc_energy_fraction,baseline_loss_change_pct,architecture_changed_vs_baseline,boundary_changed_vs_baseline,converter_count_change_vs_baseline,dc_bus_fraction_change_vs_baseline,dc_energy_fraction_change_vs_baseline,loss_contrast_change_pct_points_vs_baseline
rural,original,K0,0.0,20260924,0.96,no_standby_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.96,no_capacity_regularizer,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.96,no_endpoint_mismatch_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.96,no_boundary_electrical_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.96,electrical_ideal_conversion,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.96,full_ideal_converter,63.170077288786274,0.0,0.0,3.1933611900000005,74.368491,4,0.09135802469135802,0.0008571729573333333,63.170077288786274,72.75016085878627,1.0,1.0,0|1|2|4|5|6|7|8|9|10|11|12|13,3-6|3-7|3-0|3-1,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,root-converted DC,27.0,132.0,123.03728696309652,135.81073172309652,-48.657777777777774,all-AC,,0,0.0,0.0,0.0,True,True,4,1.0,1.0,-48.657777777777774
rural,original,K0,0.0,20260924,0.98,baseline,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.98,no_boundary_efficiency_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.98,no_standby_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.98,no_capacity_regularizer,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.98,no_endpoint_mismatch_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.98,no_boundary_electrical_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.98,electrical_ideal_conversion,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.98,full_ideal_converter,63.170077288786274,0.0,0.0,3.1933611900000005,74.368491,4,0.09135802469135802,0.0008571729573333333,63.170077288786274,72.75016085878627,1.0,1.0,0|1|2|4|5|6|7|8|9|10|11|12|13,3-6|3-7|3-0|3-1,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,root-converted DC,27.0,132.0,123.03728696309652,135.81073172309652,-48.657777777777774,all-AC,,0,0.0,0.0,0.0,True,True,4,1.0,1.0,-48.657777777777774
rural,original,K0,0.0,20260924,0.99,baseline,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.99,no_boundary_efficiency_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.99,no_standby_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.99,no_capacity_regularizer,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.99,no_endpoint_mismatch_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.99,no_boundary_electrical_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.99,electrical_ideal_conversion,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260924,0.99,full_ideal_converter,63.170077288786274,0.0,0.0,3.1933611900000005,74.368491,4,0.09135802469135802,0.0008571729573333333,63.170077288786274,72.75016085878627,1.0,1.0,0|1|2|4|5|6|7|8|9|10|11|12|13,3-6|3-7|3-0|3-1,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,root-converted DC,27.0,132.0,123.03728696309652,135.81073172309652,-48.657777777777774,all-AC,,0,0.0,0.0,0.0,True,True,4,1.0,1.0,-48.657777777777774
rural,original,K0,0.0,20260925,0.94,baseline,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260925,0.94,no_boundary_efficiency_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260925,0.94,no_standby_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260925,0.94,no_capacity_regularizer,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260925,0.94,no_endpoint_mismatch_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260925,0.94,no_boundary_electrical_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260925,0.94,electrical_ideal_conversion,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260925,0.94,full_ideal_converter,63.170077288786274,0.0,0.0,3.1933611900000005,74.368491,4,0.09135802469135802,0.0008571729573333333,63.170077288786274,72.75016085878627,1.0,1.0,0|1|2|4|5|6|7|8|9|10|11|12|13,3-6|3-7|3-0|3-1,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,root-converted DC,27.0,132.0,123.03728696309652,135.81073172309652,-48.657777777777774,all-AC,,0,0.0,0.0,0.0,True,True,4,1.0,1.0,-48.657777777777774
rural,original,K0,0.0,20260925,0.96,baseline,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260925,0.96,no_boundary_efficiency_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260925,0.96,no_standby_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260925,0.96,no_capacity_regularizer,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260925,0.96,no_endpoint_mismatch_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260925,0.96,no_boundary_electrical_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260925,0.96,electrical_ideal_conversion,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260925,0.96,full_ideal_converter,63.170077288786274,0.0,0.0,3.1933611900000005,74.368491,4,0.09135802469135802,0.0008571729573333333,63.170077288786274,72.75016085878627,1.0,1.0,0|1|2|4|5|6|7|8|9|10|11|12|13,3-6|3-7|3-0|3-1,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,root-converted DC,27.0,132.0,123.03728696309652,135.81073172309652,-48.657777777777774,all-AC,,0,0.0,0.0,0.0,True,True,4,1.0,1.0,-48.657777777777774
rural,original,K0,0.0,20260925,0.98,baseline,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
rural,original,K0,0.0,20260925,0.98,no_boundary_efficiency_loss,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0,123.03728696309652,135.81073172309652,0.0,all-AC,,0,0.0,0.0,0.0,False,False,0,0.0,0.0,0.0
